job_title,publish,company,city,description,link,website,date,search_title
Business Analyst (m/w/d) Production,vor 6 Tagen,GOLDBECK GmbH,Bielefeld,"GOLDBECK GmbH * Bielefeld * Feste Anstellung * Vollzeit - GOLDBECK realisiert zukunftsweisende Immobilien in Europa. Wir verstehen Gebäude als Produkte und bieten alle Leistungen aus einer Hand: vom Design über den Bau bis zu Services im Betrieb. Aktuell beschäftigt unser Familienunternehmen mehr als 10.000 Mitarbeitende an über 100 Standorten bei einer Gesamtleistung von rund 5 Mrd. Euro. Unser Anspruch „building excellence“ steht dabei für Spitzenleistungen beim Planen, Bauen und Betreiben sowie die Weiterentwicklung unserer Talente – Zukunftsfähigkeit inklusive. Eine zukunftsorientierte Informationstechnologie stellt dabei eine wichtige Basis für unseren derzeitigen und künftigen Erfolg dar, weshalb modernste Hardware und Peripheriegeräte, eine aktuelle Entwicklungsumgebung sowie kurze Entscheidungswege für uns selbstverständlich sind. Aufgaben * Analyse von Geschä",https://www.stepstone.de/stellenangebote--Business-Analyst-m-w-d-Production-Bielefeld-GOLDBECK-GmbH--8919163-inline.html,stepstone,2022-11-21,Business_Analyst
IT Consultant Inhouse (Business Analyst) m/w/d,vor 9 Stunden,Hermes Einrichtungs Service GmbH & Co. KG,Löhne,"Hermes Einrichtungs Service GmbH & Co. KG * Löhne * Feste Anstellung * Home Office möglich,Vollzeit - Als Teil der weltweit operierenden Otto Group sind wir ein erfolgreiches, marktführendes Unternehmen in der B2C-Logistikbranche in Deutschland mit starkem Wachstum. Im Zwei-Mann-Handling setzen wir seit Jahrzehnten Maßstäbe und haben unseren Wettbewerbsvorsprung kontinuierlich ausgebaut. Mit 8.000 Beschäftigten an drei Logistikzentren und rund 60 Depotstandorten sowie leistungsstarken internationalen Netzwerkpartnern beliefern wir jährlich mehr als sieben Millionen Privathaushalte in Deutschland und im benachbarten Ausland. Unsere Mission ist es, stets einwandfreie Logistiklösungen und höchste Qualität sowie ein Plus an Service und Freundlichkeit zu liefern. Damit begeistern wir unsere Kund*innen jeden Tag aufs Neue.",https://www.stepstone.de/stellenangebote--IT-Consultant-Inhouse-Business-Analyst-m-w-d-Loehne-Hermes-Einrichtungs-Service-GmbH-Co-KG--8939621-inline.html,stepstone,2022-11-21,Business_Analyst
IT Business Analyst (m/w/d),vor 1 Tag,GOLDBECK GmbH,Bielefeld,"GOLDBECK GmbH * Bielefeld * Feste Anstellung * Vollzeit - GOLDBECK realisiert zukunftsweisende Immobilien in Europa. Wir verstehen Gebäude als Produkte und bieten alle Leistungen aus einer Hand: vom Design über den Bau bis zu Services im Betrieb. Aktuell beschäftigt unser Familienunternehmen mehr als 10.000 Mitarbeitende an über 90 Standorten bei einer Gesamtleistung von 4,1 Mrd. Euro. Unser Anspruch „building excellence“ steht dabei für Spitzenleistungen beim Planen, Bauen und Betreiben sowie die Weiterentwicklung unserer Talente – Zukunftsfähigkeit inklusive. Eine zukunftsorientierte Informationstechnologie stellt dabei eine wichtige Basis für unseren derzeitigen und künftigen Erfolg dar, weshalb modernste Hardware und Peripheriegeräte, eine aktuelle Entwicklungsumgebung sowie kurze Entscheidungswege für uns selbstverständlich sind. IT Inhouse Consultant (m/w/d) Auf",https://www.stepstone.de/stellenangebote--IT-Business-Analyst-m-w-d-Bielefeld-GOLDBECK-GmbH--8839228-inline.html,stepstone,2022-11-21,Business_Analyst
Sales Consultant - Business Analyst (w/m/d),vor 4 Tagen,DTS Systeme GmbH,"Bensheim, Berlin, Bochum, Bremen, Hamburg, Hannover, Herford, Köln, München, Münster (Westfalen),","DTS Systeme GmbH * Bensheim, Berlin, Bochum, Bremen, Hamburg, Hannover, Herford, Köln, München, Münster (Westfalen), * Feste Anstellung * Vollzeit - Wir unterstützen unsere Kunden als etablierter IT-Dienstleister in den Fokusbereichen Datacenter, Technology und Security. Mit unseren zwei eigenen zertifizierten deutschen Rechenzentren und über 350 Mitarbeiter*innen an 15 Standorten in Deutschland, Österreich und Griechenland bieten wir Kunden vielseitige, innovative sowie hybride Lösungen an. Flache Hierarchien, familiäres Miteinander, nachhaltige Personalentwicklung und eine Kultur der offenen Tür, das ist die DTS. Standort: Bensheim, Berlin, Bochum, Bremen, Hamburg, Hannover, Herford, Köln, München, Münster (Westfalen), Nürnberg - Deine Aufgaben * Du zeigst unseren Kunden aus betriebswirtschaftlicher Sicht neue Möglichkeiten auf und stellst bisherige Konzepte auf den",https://www.stepstone.de/stellenangebote--Sales-Consultant-Business-Analyst-w-m-d-Bensheim-Berlin-Bochum-Bremen-Hamburg-Hannover-Herford-Koeln-Muenchen-Muenster-Westfalen-DTS-Systeme-GmbH--8929151-inline.html,stepstone,2022-11-21,Business_Analyst
Financial Business Analyst / Controller (m/w/d),vor 1 Woche,L&S DEUTSCHLAND GmbH,Rödinghausen,"Unterstützung bei Design, Test und Implementierung der Business Intelligence zusammen mit externen Beratern und der internen IT * Kenntnisse in SAP One und Qlik sind wünschenswert",https://www.stepstone.de/stellenangebote--Financial-Business-Analyst-Controller-m-w-d-Roedinghausen-LS-DEUTSCHLAND-GmbH--8908471-inline.html,stepstone,2022-11-21,Business_Analyst
IT Inhouse Consultant Business Intelligence / Data Analyst (m/w/d),vor 2 Wochen,Wilhelm Böllhoff GmbH & Co. KG,Bielefeld,Zur Stärkung unseres Unternehmensbereiches Wilhelm Böllhoff GmbH & Co. KG suchen wir für unseren Hauptsitz in Bielefeld Sie als IT Inhouse Consultant Intelligence / Data (m/w/d),https://www.stepstone.de/stellenangebote--IT-Inhouse-Consultant-Business-Intelligence-Data-Analyst-m-w-d-Bielefeld-Wilhelm-Boellhoff-GmbH-Co-KG--8891819-inline.html,stepstone,2022-11-21,Business_Analyst
Product Owner / Business Analyst (m/w/d) I E-Commerce,vor 6 Tagen,Arvato Systems GmbH,Bielefeld,"Und darum suchen wir dich als Product Owner / Business Analyst (m/w/d) I E-Commerce für unseren Standort in Bielefeld, Köln, Dortmund, Rheda-Wiedenbrück oder remote. * Du begleitest Kundenprojekte von der Anforderungsaufnahme bis zur Umsetzung als Product Owner/ (m/w/d) und steuerst so das gesamte Projektteam * Know-how und Erfahrung in Requirements Engineering, -Analyse oder System-Analyse sind vorhanden?",https://www.stepstone.de/stellenangebote--Product-Owner-Business-Analyst-m-w-d-I-E-Commerce-Bielefeld-Arvato-Systems-GmbH--8919961-inline.html,stepstone,2022-11-21,Business_Analyst
Product Owner / Business Analyst (m/w/d) | Produktdaten,vor 6 Tagen,Arvato Systems Digital GmbH,Rheda-Wiedenbrück,"Und darum suchen wir dich als Product Owner / Business Analyst (m/w/d) | Produktdaten für unsere deutschlandweiten Standorte. * Du berätst und unterstützt unsere Kunden bei der Planung, Konzeption und Einführung von Produkt-Informations-Management-Lösungen in der Rolle eines Product Owners / (m/w/d) * Du bringst Know-how und Erfahrung im Requirements Engineering, der -Analyse oder System-Analyse mit?",https://www.stepstone.de/stellenangebote--Product-Owner-Business-Analyst-m-w-d-Produktdaten-Rheda-Wiedenbrueck-Arvato-Systems-Digital-GmbH--8919033-inline.html,stepstone,2022-11-21,Business_Analyst
Data / Business Analyst (m/w/d),vor 1 Woche,eWolff GmbH,Bielefeld,"Finde Deine Rolle und verstärke unser Team Data Analytics als Data / Business Analyst (m/w/d) * mind. 1-3 Jahre Berufserfahrung in relevanten Bereichen (Datenanalyse, Intelligence, Consulting oder ähnliches)",https://www.stepstone.de/stellenangebote--Data-Business-Analyst-m-w-d-Bielefeld-eWolff-GmbH--8227460-inline.html,stepstone,2022-11-21,Business_Analyst
Duales Studium Online Marketing (B.A.) am Campus oder online,vor 3 Tagen,IU Internationale Hochschule,"Berlin, Dortmund, Hamburg, Köln, Augsburg, Bielefeld, Dresden, Duisburg, Düsseldorf, Essen",Digital Business,https://www.stepstone.de/stellenangebote--Duales-Studium-Online-Marketing-B-A-am-Campus-oder-online-Berlin-Dortmund-Hamburg-Koeln-Augsburg-Bielefeld-Dresden-Duisburg-Duesseldorf-Essen-IU-Internationale-Hochschule--8932560-inline.html,stepstone,2022-11-21,Business_Analyst
