job_title,publish,company,city,description,link,website,date,search_title
Data Scientist (m/w/d),vor 20 Stunden,CONTACT Software GmbH,"Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München","CONTACT Software GmbH * Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München * Feste Anstellung * Home Office möglich,Vollzeit - CONTACT Software verbindet Menschen, Unternehmen und Systeme - Als führender Softwarehersteller für innovative Produktentstehungsprozesse und die digitale Transformation haben wir einen modularen Software-Baukasten auf Basis einer offenen Technologieplattform geschaffen, mit dem unsere weltweiten Kunden als internationale Marktführer ihre Produktdaten in agilen Prozessen und kollaborativen Projekten effizienter nutzen. Seit über 30 Jahren entwickeln und implementieren wir smarte Softwarelösungen, die moderne IT-Systeme mit dem Internet der Dinge (IoT) verbinden. Mehr als 350 kreative Köpfe an über zehn Standorten und ein internationales Partnernetzwerk arbeiten täglich daran, unsere Angebote und",https://www.stepstone.de/stellenangebote--Data-Scientist-m-w-d-Home-Office-oder-Bremen-Berlin-Paderborn-Duisburg-Koeln-Frankfurt-Karlsruhe-Augsburg-Muenchen-CONTACT-Software-GmbH--8869313-inline.html,stepstone,2022-11-19,Data_Scientist
Data Scientist / Analyst - Web (m/w/d),vor 2 Tagen,Neue Westfälische GmbH & Co. KG,Bielefeld,Wir suchen nach einem Data Analyst/Data Scientist (m/w/d) mit dem Fokus auf unsere Website.,https://www.stepstone.de/stellenangebote--Data-Scientist-Analyst-Web-m-w-d-Bielefeld-Neue-Westfaelische-GmbH-Co-KG--8866842-inline.html,stepstone,2022-11-19,Data_Scientist
Data Analyst / Scientist (m/w/d),vor 1 Woche,eWolff GmbH,Bielefeld,"Finde Deine Rolle und verstärke unser Team Data Analytics als Data Analyst / Scientist (m/w/d) Data-Driven? * Science, BWL/VWL, MINT oder ähnliches studiert",https://www.stepstone.de/stellenangebote--Data-Analyst-Scientist-m-w-d-Bielefeld-eWolff-GmbH--8228787-inline.html,stepstone,2022-11-19,Data_Scientist
Data Scientist (m/w/d),vor 2 Wochen,FERCHAU GmbH,Bielefeld,"Planung, Konzeption, Umsetzung und Wartung von Lösungen in den Bereichen Big Data und Data Science",https://www.stepstone.de/stellenangebote--Data-Scientist-m-w-d-Bielefeld-FERCHAU-GmbH--7838347-inline.html,stepstone,2022-11-19,Data_Scientist
Software Entwickler * IIoT Services,vor 3 Wochen,Weidmüller Gruppe,Paderborn,"Eigenverantwortliche Mitarbeit in einem agilen Softwareentwicklungsprozess und in enger Zusammenarbeit mit Frontend-Entwicklern *, UX-Designern *, und Applikations-Ingenieuren *",https://www.stepstone.de/stellenangebote--Software-Entwickler-IIoT-Services-Paderborn-Weidmueller-Gruppe--8078081-inline.html,stepstone,2022-11-19,Data_Scientist
Junior Data Engineer (m/w/d),vor 1 Tag,CTH Gesellschaft für Entscheidungs- und Informationssysteme mbH,Halle,"Zur Unterstützung unserer Bereiche Anwendungsberatung/-entwicklung und Systemanalyse/-entwicklung suchen wir Sie als motivierte(n), engagierte(n) Junior Engineer (m/w/d) * Realisierung von BI / Big Lösungen im Backend (Datenmodell, Struktur, ETL, Datenhaltung)",https://www.stepstone.de/stellenangebote--Junior-Data-Engineer-m-w-d-Halle-CTH-Gesellschaft-fuer-Entscheidungs-und-Informationssysteme-mbH--8829042-inline.html,stepstone,2022-11-19,Data_Scientist
Enterprise Data Architect (m/f/d),vor 4 Tagen,Arvato Infoscore GmbH,"Oslo, Berlin, Baden-Baden, Verl","In this role you will work extensively with data and data analysis in a variety of tools and methods. We expect you to be truly interested in and love to work and wrangle with it. Ultimately, you will enhance our business intelligence solutions to help us make better decisions and become a more driven company. * You design the architecture of our modern platform that enables BI, Science and Machine Learning. * You formulate techniques for quality collection to ensure adequacy, accuracy and legitimacy of * You create, improve and maintain our architectures to create and distribute complex datasets. * You make sure is separated, secured and meeting local as well",https://www.stepstone.de/stellenangebote--Enterprise-Data-Architect-m-f-d-Oslo-Berlin-Baden-Baden-Verl-Arvato-Infoscore-GmbH--8871550-inline.html,stepstone,2022-11-19,Data_Scientist
Enterprise Data Architect (m/f/d),vor 5 Tagen,Arvato Infoscore GmbH,"Berlin, Verl, Baden-Baden","You design the architecture of our modern data platform that enables BI, Data Science and Machine Learning. * You formulate techniques for quality collection to ensure adequacy, accuracy and legitimacy of * You create, improve and maintain our architectures to create and distribute complex datasets. * You make sure is separated, secured and meeting local as well as international security and privacy standards such as GDPR and other. * You define objects and attributes, definitions, and RASIC matrix for creation, access, change, sources of truth. * You create and enforce policies for effective management. * You ensure digital databases and",https://www.stepstone.de/stellenangebote--Enterprise-Data-Architect-m-f-d-Berlin-Verl-Baden-Baden-Arvato-Infoscore-GmbH--8917739-inline.html,stepstone,2022-11-19,Data_Scientist
"(Junior) Consultant (w/m/d) IT Prozesse, Big Data und Compliance",vor 5 Tagen,KPMG AG Wirtschaftsprüfungsgesellschaft,"Leipzig, Bielefeld, Dresden, Bremen, Freiburg, Essen, Mainz, Karlsruhe, Dortmund, Regensburg","Als (Junior) Consultant (w/m/d) IT Prozesse, Big Data und Compliance prüfst Du die Systeme unserer Kunden und Kundinnen und bewertest deren IT gestützte Geschäftsprozesse. * Als (Junior) Consultant (w/m/d) für IT Prozesse, Big und Compliance prüfst Du die Einhaltung von Anforderungen im IT-Compliance- und IT Governance-Umfeld und berätst unsere Kund:innen bei der Umsetzung der Regularien. Internet of Things (IoT), Big SAP, Industrie 4.0, IT-Revision, IT Audit oder Robotics sind keine Fremdwörter für Dich.",https://www.stepstone.de/stellenangebote--Junior-Consultant-w-m-d-IT-Prozesse-Big-Data-und-Compliance-Leipzig-Bielefeld-Dresden-Bremen-Freiburg-Essen-Mainz-Karlsruhe-Dortmund-Regensburg-KPMG-AG-Wirtschaftspruefungsgesellschaft--8905503-inline.html,stepstone,2022-11-19,Data_Scientist
Lighting Modules Technology & Portfolio Engineer (m/f/d),vor 1 Woche,HELLA Gruppe,Lippstadt,"HELLA Gruppe - Lighting Modules Technology & Portfolio Engineer (m/f/d) * Lippstadt * Feste Anstellung * Home Office möglich,Vollzeit - HELLA GmbH & Co. KGaA - HELLA is a listed, internationally positioned automotive supplier operating under the umbrella brand FORVIA. Within this de facto group, HELLA stands for high-performance lighting technology and automotive electronics. At the same time, the Company covers a broad service and product portfolio for the spare parts and workshop business as wellacturers of special-purpose vehicles with its Lifecycle Solutions business group. HELLA has around 36,000 employees at more than 125 locations worldwide and generated consolidated sales of € 6.3 billion in the fiscal year 2021/2022. As a Lighting Modules Technology & Portfolio Engineer in the Business Group Lighting you are the engineering pioneer for the future of lighting",https://www.stepstone.de/stellenangebote--Lighting-Modules-Technology-Portfolio-Engineer-m-f-d-Lippstadt-HELLA-Gruppe--8911467-inline.html,stepstone,2022-11-19,Data_Scientist
