job_title,publish,company,city,description,link,website,date,search_title
Maschinenbauingenieur Schwerpunkt Brandschutz (m/w/d),vor 4 Tagen,CEATEC Germany GmbH,Paderborn,Wir suchen für unseren Standort in Paderborn zum nächstmöglichen Zeitpunkt eine/n Maschinenbauingenieur,https://www.stepstone.de/stellenangebote--Maschinenbauingenieur-Schwerpunkt-Brandschutz-m-w-d-Paderborn-CEATEC-Germany-GmbH--8560888-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Maschinenbauingenieur oder Maschinenbautechniker (Konstruktionstechnik) m/w/d,vor 1 Woche,Leifeld Metal Spinning GmbH,Ahlen,"Aktuell suchen wir für unseren Standort in Ahlen einen Maschinenbauingenieur oder Maschinenbautechniker * Erfolgreich abgeschlossene mit dem Schwerpunkt Konstruktionstechnik, möglichst mit ersten Erfahrungen in der Konstruktion von Werkzeugmaschinen oder Sondermaschinen oder",https://www.stepstone.de/stellenangebote--Maschinenbauingenieur-oder-Maschinenbautechniker-Konstruktionstechnik-m-w-d-Ahlen-Leifeld-Metal-Spinning-GmbH--8367611-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Erfahrener Konstrukteur mit Projektleitungsaufgaben (m/w/d) Allgemeiner Maschinenbau,vor 1 Woche,SCHULER KONSTRUKTIONEN GmbH & Co. KG,"Bad Hersfeld, Bielefeld, Chemnitz, Dresden, Duisburg, Hamburg, Hannover, Koblenz","SCHULER KONSTRUKTIONEN GmbH & Co. KG * Bad Hersfeld, Bielefeld, Chemnitz, Dresden, Duisburg, Hamburg, Hannover, Koblenz * Feste Anstellung * Vollzeit - Als führendes Engineering-Unternehmen, mit mehr als 500 Mitarbeitern in der gesamten SCHULER-Firmengruppe, setzt SCHULER KONSTRUKTIONEN auf Qualitätsarbeit durch hochqualifizierte und engagierte Mitarbeiter. Seit 1968 entwickeln und konstruieren unsere Spezialisten und Nachwuchskräfte für namhafte Kunden aus den verschiedensten Bereichen der Industrie. Durch unsere Branchen- und Konzernunabhängigkeit stehen wir für langfristige und sichere Arbeitsplätze. Unsere Standorte in Bad Hersfeld, Bielefeld, Chemnitz, Dresden, Duisburg, Hamburg, Hannover und Koblenz suchen jeweils erfahrene Konstrukteure als Projektleiter (m/w/d) für interessante und abwechslungsreiche Projekte im Bereich des Allgemeinen Maschinenbaus.",https://www.stepstone.de/stellenangebote--Erfahrener-Konstrukteur-mit-Projektleitungsaufgaben-m-w-d-Allgemeiner-Maschinenbau-Bad-Hersfeld-Bielefeld-Chemnitz-Dresden-Duisburg-Hamburg-Hannover-Koblenz-SCHULER-KONSTRUKTIONEN-GmbH-Co-KG--7796374-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Mechanischer Konstrukteur (m/w/d) Logistik,vor 6 Tagen,ISS-Automation GmbH,Gütersloh,"ISS-Automation GmbH * Gütersloh * Feste Anstellung * Vollzeit - Wir, die Gründer der iSS Automation GmbH haben seit 1984 mit der Entwicklung und Beratung in der Automatisierungstechnologie begonnen und uns in einem Wirtschaftszweig mit schnell fortschreitender Technik zu einem seriösen, zuverlässigen und leistungsstarken Anbieter von innovativen Lösungen auf dem Gebiet der Informations- und Automatisierungstechnik entwickelt. Als kompetenter Partner übernehmen wir die Planung und Ausführung von individuellen Automatisierungsprojekten aus einer Hand: Projektmanagement, Elektrokonstruktion, Schaltanlagenbau, Elektromontage, Software für SPS- und IT-Systeme zusammen mit integrierter Anlagen-Visualisierung. Wir entwickeln durchgängige Software-Lösungen für die Feld- und Prozessebene zur Steuerung komplexer Förder-, Kommissionier- und Lagersysteme.",https://www.stepstone.de/stellenangebote--Mechanischer-Konstrukteur-m-w-d-Logistik-Guetersloh-ISS-Automation-GmbH--7763022-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Verfahrensmechaniker (m/w/d) Kunststoff-/Kautschuktechnik,vor 5 Tagen,Kaimann GmbH,Hövelhof,"Kaimann GmbH * Hövelhof * Feste Anstellung * Vollzeit - Willkommen bei Saint-Gobain - Wir entwickeln, produzieren und vertreiben mit unserem breiten Markenportfolio in einem kontinuierlichen Innovationsprozess Materialien und Lösungen für den Bausektor und verschiedene Industriemärkte. Als globaler Top Employer mit knapp 170.000 Mitarbeiter*innen in über 70 Ländern weltweit vereinen wir Nachhaltigkeit und Leistung. Die Saint-Gobain Tochterfirma Kaimann ist einer der führenden Technologie- und Innovationsanbieter für elastomere Dämmstoffe und verfügt über ein Vertriebsnetz in mehr als 50 Ländern. Kaimann Produkte sorgen für eine hohe Effizienz sowie für einen sicheren und effektiven Brand-, Schall- und Korrosionsschutz und kommen in der Gebäudetechnik, Industrie und im Öl- und Gassektor zum Einsatz. Wir haben es uns als Ziel gesetzt, führend in Innovation, Nachhaltigke",https://www.stepstone.de/stellenangebote--Verfahrensmechaniker-m-w-d-Kunststoff-Kautschuktechnik-Hoevelhof-Kaimann-GmbH--8829320-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Entwicklungsingenieur / Ingenieur Strukturmechanik (m/w/d),vor 1 Woche,Holter Regelarmaturen GmbH & Co. KG,Schloß Holte-Stukenbrock,"Holter Regelarmaturen GmbH & Co. KG * Schloß Holte-Stukenbrock * Feste Anstellung * Home Office möglich,Vollzeit - Wir sind ein konzernunabhängiges mittelständisches Familienunternehmen, das erfolgreiche Lösungen für spezifische Kundenbedürfnisse entwickelt. Die von uns produzierten Ventile und Antriebe für Regelungsaufgaben in Wasser- und Dampfanwendungen sind rund um den Globus gefragt. Wir wachsen seit Jahren profitabel und investieren unsere Gewinne komplett in eine moderne Betriebsausstattung, ständige Prozessverbesserung, innovative Produkte und kluge Köpfe, die bei uns viel Freiraum für die Verwirklichung ihrer Begabung und Ideen finden. Ihre Aufgaben * Entwicklung und Konstruktion von Regelarmaturen für Kraftwerke im Bereich der erneuerbaren und konventionellen Energieträger, sowie für den Transport und die Speicherung von Erdgas und Wasserstoff",https://www.stepstone.de/stellenangebote--Entwicklungsingenieur-Ingenieur-Strukturmechanik-m-w-d-Schloss-Holte-Stukenbrock-Holter-Regelarmaturen-GmbH-Co-KG--8924568-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Verfahrensmechaniker für Beschichtungstechnik (w/m/d),vor 6 Tagen,Teckentrup GmbH & Co. KG,Verl,"Teckentrup GmbH & Co. KG * Verl * Feste Anstellung * Vollzeit - Das Unternehmen TECKENTRUP setzt auf innovative und digitale Strategien zum Ausbau der Geschäftsfelder HOME. Als einer der europaweit führenden Hersteller von Garagentoren, Feuerschutztüren und Industrietoren suchen wir Menschen, die in agilen und kreativen Prozessen Lösungen für die Anforderungen unserer Kunden mitgestalten. Verstärken Sie unser Team am Standort Verl schnellstmöglich als Verfahrensmechaniker für Beschichtungstechnik (w/m/d) als stellv. Vorarbeiter - Ihre Aufgaben * Termin und qualitätsgerechte Beschichtung und Montage von Türen, Toren und Zargen in Einzel und Serienfertigung * Steuerung und Bedienung der Gesamtanlagentechnik und Pulverkabinen * Vorbereitung und Sicherstellung des gesamten Produktionsprozesses im o. g. Bereich",https://www.stepstone.de/stellenangebote--Verfahrensmechaniker-fuer-Beschichtungstechnik-w-m-d-Verl-Teckentrup-GmbH-Co-KG--8922443-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
3D Piping Designer (m/w/d),vor 3 Tagen,FERCHAU GmbH,Hamm,"FERCHAU GmbH * Hamm * Feste Anstellung * Vollzeit - Die besten Köpfe für die unterschiedlichsten Aufgaben finden. Menschen und Technologien verbinden, und zwar täglich aufs Neue - dafür schätzen unsere Kunden FERCHAU. Unterstützen Sie uns: als ambitionierter Kollege, der wie wir Technologien auf die nächste Stufe bringen möchte. Wir realisieren spannende Projekte für namhafte Kunden im Anlagenbau und überzeugen täglich mit fundierter Expertise und fachlichem Know-how. Deine Aufgaben - Das ist zukünftig Ihr Job * Modellieren von Rohrleitungen im E3D nach Vorgabe der PIDs/RIs * Modellieren von Ausrüstungen nach Vorgabe der Apparatespezifikation und/oder Zeichnungen * Modellieren der Stahlbaustrukturen für Prozessgebäude und Rohrbrücken entsprechend den Anforderungen der Anlage * Positionieren der Ausrüstungen nach prozesstechnischen Anforderungen",https://www.stepstone.de/stellenangebote--3D-Piping-Designer-m-w-d-Hamm-FERCHAU-GmbH--8636178-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Maschinen- & Anlagenführer/ Verfahrensmechaniker (m/w/d),vor 1 Woche,REME-Möbelbeschläge GmbH,Hövelhof (bei Bielefeld),"REME-Möbelbeschläge GmbH - Maschinen- & Anlagenführer/ Verfahrensmechaniker (m/w/d) * Hövelhof (bei Bielefeld) * Feste Anstellung * Vollzeit - REME Möbelbeschläge GmbH entwickelt und fertigt Schubkastenauszüge aus Metall für die Möbelindustrie weltweit und steht seit vielen Jahren für zertifizierte Qualität „Made in Germany“ mit hoher Kundenorientierung. Wir sind ein mittelständisches Industrieunternehmen seit 1988 mit Sitz in Hövelhof. Dort beschäftigen wir in unseren vier Produktionswerken rund 220 Mitarbeiter. Zur Verstärkung unseres Teams suchen wir ab sofort - Ihre Aufgaben * Bedienen und Überwachen des regelmäßigen Produktionsablaufs der Anlagen * Einricht- und Umbauarbeiten * Kleinere Reparaturen und Wartungsarbeiten * Qualitätsüberwachung - Das erwarten wir * Abgeschlossene technische Ausbildung, vorzugsweise als Maschinen- & Anlagenführer, Verfahrensmechanike",https://www.stepstone.de/stellenangebote--Maschinen-Anlagenfuehrer-Verfahrensmechaniker-m-w-d-Hoevelhof-bei-Bielefeld-REME-Moebelbeschlaege-GmbH--8663341-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Industrielackierer / Verfahrensmechaniker Beschichtungstechnik / Oberflächenbeschichtung (m/w/d),vor 1 Woche,Hörmann KG Brockhagen,Steinhagen bei Bielefeld,"Hörmann KG Brockhagen * Steinhagen bei Bielefeld * Feste Anstellung * Vollzeit - Die Hörmann Gruppe ist Europas führender Anbieter für Türen, Tore, Zargen und Antriebe. Mehr als 20 Millionen Tore wurden seit der Gründung im Jahr 1935 produziert und weltweit ausgeliefert. In 38 spezialisierten Werken in Europa, Nordamerika und Asien entwickeln und produzieren mehr als 6.000 Mitarbeiter*innen hochwertige Tore, Türen, Zargen, Antriebe, Zufahrtskontroll- und Stauraumsysteme für den Einsatz in privaten und gewerblich genutzten Immobilien. Sie möchten in einem strukturierten Umfeld tätig sein? Sie helfen dabei, einen reibungslosen Produktionsablauf sicherzustellen? Obendrein möchten Sie gerne in einem international erfolgreichen Familienunternehmen arbeiten? Hörmann ist ein innovatives und verantwortungsbewusstes Unternehmen - es erwarten Sie abwechslungsreiche Aufgaben, ei",https://www.stepstone.de/stellenangebote--Industrielackierer-Verfahrensmechaniker-Beschichtungstechnik-Oberflaechenbeschichtung-m-w-d-Steinhagen-bei-Bielefeld-Hoermann-KG-Brockhagen--8436112-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
