job_title,publish,company,city,description,link,website,date,search_title
Cloud Architekt (m/w/d) - Microsoft Azure,vor 3 Tagen,Arvato Systems Digital GmbH,"Gütersloh, Rostock, Schortens, Köln, Leipzig","Als international agierender IT-Spezialist (m/w/d) im Microsoft-Cloud-Umfeld suchen wir deshalb dich als Cloud Architekt (m/w/d) - für einen unserer Standorte in Gütersloh, Rostock, Schortens, Köln oder Leipzig. * Du entwirfst dynamisch skalierbare, hoch verfügbare und sichere Lösungen auf Basis von und bist bei ihrer Umsetzung dabei * Auf 303 folgt für dich 304/305 und praktische Erfahrungen und Zertifizierungen mit sind kein Fremdwort * Du hast einen Blick auf technische Weiterentwicklungen und Trends und stehst dabei im Austausch mit unserem",https://www.stepstone.de/stellenangebote--Cloud-Architekt-m-w-d-Microsoft-Azure-Guetersloh-Rostock-Schortens-Koeln-Leipzig-Arvato-Systems-Digital-GmbH--8881598-inline.html,stepstone,2022-11-21,Microsoft_Azure
"Cloud Solution Architect (Azure, AWS, Google) (m/w/d)",vor 1 Woche,Arvato Systems GmbH,Gütersloh,"Uns alle vereint ein tiefes Verständnis für Cloud-Technologien von Microsoft Azure, AWS oder Google und der Spaß daran, in diesem Umfeld die bestmöglichen Lösungen zu gestalten. Sie ist die Basis für Migration, Transformation und Betrieb großer Enterprise Cloud IT in AWS, Google und Private Cloud. * Du bringst Erfahrungen auf mindestens einem Public Cloud Ökosystem ( Amazon, Google) mit",https://www.stepstone.de/stellenangebote--Cloud-Solution-Architect-Azure-AWS-Google-m-w-d-Guetersloh-Arvato-Systems-GmbH--8867053-inline.html,stepstone,2022-11-21,Microsoft_Azure
Backend Developer (m/w/d) – Azure & .NET,vor 3 Wochen,GOLDBECK GmbH,"Bielefeld, Leipzig, Plauen","Erste Erfahrung im Cloud-Bereich, idealerweise in Microsoft Azure Backend Developer (m/w/d) – Azure & .NET * Entwicklung und Integration von eigenen Komponenten auf Basis der Cloud (Functions, Logic Apps, Web Apps, Service Bus, Event Grid, Event Hubs, …) * Praktische Erfahrungen in Continuous Integration und Deployment (z. B. Git, DevOps)",https://www.stepstone.de/stellenangebote--Backend-Developer-m-w-d-Azure-NET-Bielefeld-Leipzig-Plauen-GOLDBECK-GmbH--8767494-inline.html,stepstone,2022-11-21,Microsoft_Azure
Softwareentwickler (m/w/d) interne Infrastruktur,vor 8 Stunden,dSPACE GmbH,Paderborn,"Entwicklung sowie Pflege von Tools und Erweiterungen für Anwendungssysteme, wie Microsoft Azure DevOps sowie selbstentwickelte Werkzeuge - o DevOps * Aufbau sowie Pflege von Intranet-Seiten und -strukturen ( Sharepoint-Technologie)",https://www.stepstone.de/stellenangebote--Softwareentwickler-m-w-d-interne-Infrastruktur-Paderborn-dSPACE-GmbH--8333340-inline.html,stepstone,2022-11-21,Microsoft_Azure
(Senior) Associate Data Validation Teilzeit/Vollzeit (w/m/d),vor 1 Tag,PwC,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover,","Datenanalysen - Du führst auf Basis von modernen Tools und Lösungen wie Alteryx, Microsoft Azure oder Power BI Datenanalysen durch und schaffst somit einen Mehrwert für unsere Mandanten.",https://www.stepstone.de/stellenangebote--Senior-Associate-Data-Validation-Teilzeit-Vollzeit-w-m-d-Berlin-Bielefeld-Bremen-Duisburg-Duesseldorf-Erfurt-Essen-Frankfurt-a-M-Hamburg-Hannover-PwC--8842414-inline.html,stepstone,2022-11-21,Microsoft_Azure
Enterprise Data Architect (m/f/d),vor 1 Woche,Arvato Infoscore GmbH,"Berlin, Verl, Baden-Baden","You are always up to date with the latest developments in data technologies and architectures, especially in You already have experience with Purview for Data Governance.",https://www.stepstone.de/stellenangebote--Enterprise-Data-Architect-m-f-d-Berlin-Verl-Baden-Baden-Arvato-Infoscore-GmbH--8917739-inline.html,stepstone,2022-11-21,Microsoft_Azure
(Senior) Softwarearchitekt (m/w/d),vor 3 Tagen,Arvato Systems Digital GmbH,Gütersloh,"Du bringst gute Kenntnisse von Cloud-Services (vorzugsweise Microsoft Azure) mit und konntest bereits Erfahrung in der Umsetzung von Cloud Architekturen sammeln - Uns alle vereint ein tiefes Verständnis für .NET / Web und Cloud-Technologien von und der Spaß daran, in diesem Umfeld die bestmöglichen Lösungen zu gestalten.",https://www.stepstone.de/stellenangebote--Senior-Softwarearchitekt-m-w-d-Guetersloh-Arvato-Systems-Digital-GmbH--8829003-inline.html,stepstone,2022-11-21,Microsoft_Azure
(Senior) Full-Stack Developer Fintech Innovation (m/f/d),vor 3 Tagen,Arvato Infoscore GmbH,"Verl, Berlin, Baden-Baden","Databases and cloud technologies and services, ideally Microsoft Azure",https://www.stepstone.de/stellenangebote--Senior-Full-Stack-Developer-Fintech-Innovation-m-f-d-Verl-Berlin-Baden-Baden-Arvato-Infoscore-GmbH--8882267-inline.html,stepstone,2022-11-21,Microsoft_Azure
(Senior) Systemadministrator (m/w/x),vor 8 Stunden,Arvato Supply Chain Solutions SE – Consumer Products,"Hannover, Gütersloh, Köln, Hamburg, Münster",Du unterstützt die internationale Administration unserer on premise Server-Systeme und unsere Journey der Systeme in die Cloud,https://www.stepstone.de/stellenangebote--Senior-Systemadministrator-m-w-x-Hannover-Guetersloh-Koeln-Hamburg-Muenster-Arvato-Supply-Chain-Solutions-SE-Consumer-Products--8939900-inline.html,stepstone,2022-11-21,Microsoft_Azure
Enterprise Data Architect (m/f/d),vor 6 Tagen,Arvato Infoscore GmbH,"Oslo, Berlin, Baden-Baden, Verl","You are always up to date with the latest developments in data technologies and architectures, especially in You already have experience with Purview for Data Governance. * Experience with streaming data Service Bus/Event Hub.",https://www.stepstone.de/stellenangebote--Enterprise-Data-Architect-m-f-d-Oslo-Berlin-Baden-Baden-Verl-Arvato-Infoscore-GmbH--8871550-inline.html,stepstone,2022-11-21,Microsoft_Azure
Microsoft Developer (m/w/d),vor 3 Tagen,Arvato Systems GmbH,Bielefeld,Als international agierender IT-Spezialist suchen wir deshalb dich als Microsoft Developer (m/w/d) * Du verfügst über eine große Berufserfahrung in Microsoft.NET ( C# etc.) * Auch mit den gängigen Office Produkten kennst du dich bestens aus,https://www.stepstone.de/stellenangebote--Microsoft-Developer-m-w-d-Bielefeld-Arvato-Systems-GmbH--8829002-inline.html,stepstone,2022-11-21,Microsoft_Azure
Softwareentwickler als Berufseinsteiger (m/w/d) Simulationsplattform VEOS,vor 1 Woche,dSPACE GmbH,Paderborn,"Anwendung aktueller Technologien und Entwicklungsumgebungen, u. a. Git, Microsoft® Azure® DevOps, Visual Studio®, C#, C++",https://www.stepstone.de/stellenangebote--Softwareentwickler-als-Berufseinsteiger-m-w-d-Simulationsplattform-VEOS-Paderborn-dSPACE-GmbH--8803741-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT-Administrator (m/w/d) Cloud-Infrastruktur,vor 1 Woche,GOLDBECK GmbH,"Bielefeld, Leipzig, Plauen","Praktische Erfahrung im Microsoft Azure Umfeld (z.B. Windows, Datenbanken, Monitoring, Security) * Erfahrungen in der Verwaltung und Administration von AD und AD",https://www.stepstone.de/stellenangebote--IT-Administrator-m-w-d-Cloud-Infrastruktur-Bielefeld-Leipzig-Plauen-GOLDBECK-GmbH--8812648-inline.html,stepstone,2022-11-21,Microsoft_Azure
Cloud Developer Java (m/w/d),vor 2 Tagen,direct services Gütersloh GmbH BPG-IT,"Gütersloh, Home Office",Du kennst Dich in der AWS und der Azure Cloud aus.,https://www.stepstone.de/stellenangebote--Cloud-Developer-Java-m-w-d-Guetersloh-Home-Office-direct-services-Guetersloh-GmbH-BPG-IT--8886944-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT-Systemadministrator (m/w/d),vor 4 Tagen,avitea GmbH,Soest,"Fundierte Kenntnisse der Cloud-Dienste (z. B. Microsoft Azure, Office 365) * Sicherer Umgang mit Microsoft- und Unix-Betriebssystemen",https://www.stepstone.de/stellenangebote--IT-Systemadministrator-m-w-d-Soest-avitea-GmbH--7815338-inline.html,stepstone,2022-11-21,Microsoft_Azure
Cloud Architecture Consultant (m/w/d),vor 1 Woche,OEDIV Oetker Daten- und Informationsverarbeitung KG,"Bielefeld, Rostock, Augsburg, Oldenburg, Berlin, Frankfurt am Main, Köln","Du bringst gute Kenntnisse in Cloud Umgebungen, primär Microsoft Azure und/oder Google mit - Der Schwerpunkt liegt dabei vor allem auf und SAP Technologien. * Mehrjährige Berufserfahrung oder qualifizierte Weiterbildungsmaßnahmen, sowie eine Zertifizierung im Bereich und/oder Google Cloud runden Dein Profil zusätzlich ab",https://www.stepstone.de/stellenangebote--Cloud-Architecture-Consultant-m-w-d-Bielefeld-Rostock-Augsburg-Oldenburg-Berlin-Frankfurt-am-Main-Koeln-OEDIV-Oetker-Daten-und-Informationsverarbeitung-KG--8917184-inline.html,stepstone,2022-11-21,Microsoft_Azure
IT Systems Administrator (m/w/d),vor 1 Woche,DTS Systeme GmbH,"Bensheim, Berlin, Bochum, Bremen, Hamburg, Hannover, Herford, Köln, München, Münster (Westfalen),","Gute Kenntnisse in Microsoft Azure, Office 365, Active Directory Server, Exchange Infrastrukturen private Cloud und Exchange Online * IT-Spezialist (m/w/d) für die Themen und Office 365 für uns und unsere Kunden",https://www.stepstone.de/stellenangebote--IT-Systems-Administrator-m-w-d-Bensheim-Berlin-Bochum-Bremen-Hamburg-Hannover-Herford-Koeln-Muenchen-Muenster-Westfalen-DTS-Systeme-GmbH--8868959-inline.html,stepstone,2022-11-21,Microsoft_Azure
Software Developer (m/w/d) Agile Produktentwicklung mit C#/.NET,vor 1 Woche,dSPACE GmbH,Paderborn,"Erfahrungen mit Microsoft® Azure® DevOps, Git und Microsoft Visual Studio® wünschenswert",https://www.stepstone.de/stellenangebote--Software-Developer-m-w-d-Agile-Produktentwicklung-mit-C-NET-Paderborn-dSPACE-GmbH--8532759-inline.html,stepstone,2022-11-21,Microsoft_Azure
