,job_title,publish,company_name,city
0,Data Analyst (w/m/d) Power BI mit Remote-Anteil,1 hafta önce,ATLAS TITAN Mitte GmbH,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
1,Data / Business Analyst (m/w/d),2 hafta önce,Dr. Wolff Group,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
2,Data Analyst / Scientist (m/w/d),2 hafta önce,Dr. Wolff Group,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
3,CRM Data Analyst (m/w/d),1 gün önce,hachmeister+partner,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
4,Data Engineer(m/w/d) Big Data / Power BI,4 gün önce,Poppe + Potthoff GmbH,"Werther, Kuzey Ren-Vestfalya, Almanya"
5,Marketing Data Analyst in Influencer Marketing - Remote (m/f/d),3 hafta önce,Lurse,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
6,Data Analyst für Datenmodellierung und Kundenbetreuung (m/w/d),1 ay önce,COSMO CONSULT,"Salzkotten, Kuzey Ren-Vestfalya, Almanya"
7,Business Intelligence Consultant (w|m|d),1 ay önce,Arvato Systems,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
8,Junior SAP BW/Analytics Consultant (m/w/d),1 hafta önce,insightsON GmbH,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
9,Dualer Master als Data Analyst - Remote (m/w/d),1 ay önce,Arvato Systems,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
10,Data Engineer - Remote (m/w/d),1 hafta önce,United Headhunters,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
11,"💻 Data Engineer | Vollzeit, unbefristet (all genders), ab sofort",1 hafta önce,ORDIX AG,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
12,Junior SAP BW/Analytics Consultant (m/w/d),3 ay önce,Tönnies Unternehmensgruppe,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
13,Market Intelligence Analyst (m/w/d) - Aufbauaufgabe (1827J),1 hafta önce,SO Digital Recruitment,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
14,(Senior) Business Intelligence Consultant (w/m/d),1 ay önce,Arvato Systems,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
15,"Datenbankadministrator (m/w/d) - Datenbankentwicklung / BI, System Engineering / Admin, Ingenieur",1 hafta önce,Jefferson Frank,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
16,Senior Data Engineer (m/f/d),2 ay önce,WEKO Wohnen GmbH,"Kreis Paderborn, Kuzey Ren-Vestfalya, Almanya"
17,(Junior) Security Engineer (m/w/d),1 gün önce,Bechtle,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
18,Cloud Data Engineer (w/m/d) - in Bielefeld,1 ay önce,GOLDBECK,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
19,Data Engineer für die Datenpflege - Remote (m/w/d),1 hafta önce,Plan.One,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
20,Consultant (w/m/d) Business Intelligence / Schwerpunkt: Qlik,3 hafta önce,HELLA,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
21,Cloud Data Engineer (m/w/d),1 ay önce,NEOMATIC AG,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
22,"Backend Developer / Analytics Engineer im Bereich Digital Analytics (w/m/d) - Anwendungsentwicklung, Ingenieur",1 ay önce,KPMG Deutschland,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
23,Junior Controller als Business Intelligence Engineer (m/w/d),1 hafta önce,LM IT Services AG,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
24,SYSTEM ENGINEER (M/W/D) AUTOMATED DRIVING,2 hafta önce,ORDIX AG,"Lippstadt, Kuzey Ren-Vestfalya, Almanya"
25,Salesforce Developer (m/w/d),2 ay önce,simplicity networks GmbH,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
26,Werkstudent (w/m/d) für Business Intelligence,3 hafta önce,consenso Consulting GmbH,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
27,System Engineer Cloud Security (m/w/d),1 hafta önce,Weber Maschinenbau,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
28,Azure Cloud Engineer (w/m/d),1 ay önce,Amadeus FiRe,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
29,IT System Engineer (m_w_d),4 hafta önce,GOLDBECK,"Oelde, Kuzey Ren-Vestfalya, Almanya"
30,SAP Junior Consultant/Data Scientist (m/w/d),2 gün önce,Weber Maschinenbau,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
31,Cloud Application Developer Azure (m/w/d),4 gün önce,INLOGY,"Werther, Kuzey Ren-Vestfalya, Almanya"
32,Systemadministrator / IT System Engineer (m/w/d) Windows,3 hafta önce,adesso SE,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
33,Cloud Data Engineer (m/w/d),2 gün önce,GOLDBECK,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
34,Cloud Developer (m/w/d),5 gün önce,GOLDBECK,"Werther, Kuzey Ren-Vestfalya, Almanya"
35,Cloud Developer (m/w/d),1 hafta önce,Hörmann Deutschland,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
36,Data Engineer (all genders),1 hafta önce,4ALLPORTAL,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
37,PowerPlatform Engineer (m/w/d),2 hafta önce,Weber Maschinenbau,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
38,IT Business Analyst (m/w/d),1 hafta önce,Amadeus FiRe,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
39,IT System Engineer (m/w/d) - Microsoft Power Plattform / Microsoft 365 Services,1 hafta önce,GOLDBECK,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
40,IT Fachinformatiker Systemintegration | System Integration Engineer (m/w/d),2 gün önce,Braintower Technologies GmbH,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
41,Fachinformatiker als Cloud Engineer Azure (m/w/d),4 gün önce,Weber Maschinenbau,"Werther, Kuzey Ren-Vestfalya, Almanya"
42,(Junior) IT Systemadministrator (m/w/d) / System Engineer,2 hafta önce,Weber Maschinenbau,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
43,IT Business Analyst (m/w/d),1 ay önce,Arvato Systems,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
44,Junior Cloud Engineer für ein Systemhaus (m/w/d) Remote,2 gün önce,vitroconnect GmbH,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
45,IT-Engineer als Cloud Architekt Applikationen Azure (m/w/d),2 gün önce,HELLA,"Werther, Kuzey Ren-Vestfalya, Almanya"
46,IT Engineer als Cloud Software Developer (m/w/d),3 hafta önce,PINK Personalmanagement GmbH,"Werther, Kuzey Ren-Vestfalya, Almanya"
47,System Engineer (m/w/d) IT Security,3 hafta önce,Arvato Systems,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
48,Linux Administrator/ DevOps Engineer (m/w/d),1 ay önce,FORTIS IT-Services GmbH,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
49,ADVANCED SYSTEMS ENGINEER (M/W/D),1 hafta önce,GOLDBECK,"Lippstadt, Kuzey Ren-Vestfalya, Almanya"
50,Entwickler (m/w/d) / Analyst (m/w/d),1 ay önce,FORTIS IT-Services GmbH,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
51,(Senior) Data Engineer ML (m/w/d),3 hafta önce,CGI,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
