,job_title,publish,company_name,city,Description
0,Data Scientist (m/w/d),vor 1 Tag,CONTACT Software GmbH,"Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München","CONTACT Software GmbH * Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München * Feste Anstellung * Home Office möglich,Vollzeit - CONTACT Software verbindet Menschen, Unternehmen und Systeme - Als führender Softwarehersteller für innovative Produktentstehungsprozesse und die digitale Transformation haben wir einen modularen Software-Baukasten auf Basis einer offenen Technologieplattform geschaffen, mit dem unsere weltweiten Kunden als internationale Marktführer ihre Produktdaten in agilen Prozessen und kollaborativen Projekten effizienter nutzen. Seit über 30 Jahren entwickeln und implementieren wir smarte Softwarelösungen, die moderne IT-Systeme mit dem Internet der Dinge (IoT) verbinden. Mehr als 350 kreative Köpfe an über zehn Standorten und ein internationales Partnernetzwerk arbeiten täglich daran, unsere Angebote und"
1,Data Scientist / Analyst - Web (m/w/d),vor 2 Tagen,Neue Westfälische GmbH & Co. KG,Bielefeld,Wir suchen nach einem Data Analyst/Data Scientist (m/w/d) mit dem Fokus auf unsere Website.
2,Data Analyst / Scientist (m/w/d),vor 1 Woche,eWolff GmbH,Bielefeld,"Finde Deine Rolle und verstärke unser Team Data Analytics als Data Analyst / Scientist (m/w/d) Data-Driven? * Science, BWL/VWL, MINT oder ähnliches studiert"
3,Data Scientist (m/w/d),vor 5 Tagen,FERCHAU GmbH,Bielefeld,"Planung, Konzeption, Umsetzung und Wartung von Lösungen in den Bereichen Big Data und Data Science"
4,Software Entwickler * IIoT Services,vor 1 Woche,Weidmüller Gruppe,Paderborn,"Eigenverantwortliche Mitarbeit in einem agilen Softwareentwicklungsprozess und in enger Zusammenarbeit mit Frontend-Entwicklern *, UX-Designern *, und Applikations-Ingenieuren *"
5,Consultant Data Science Teilzeit/Vollzeit (w/m/d),vor 1 Woche,PwC,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover,","PwC * Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover, * Feste Anstellung * Teilzeit,Vollzeit - Du hast Talent. Wir sind ein internationales Netzwerk aus 284.000 Mitarbeiter:innen, die ihr Wissen, ihre Erfahrungen und ihre Ideen miteinander teilen. Du suchst einen herausfordernden, spannenden Job. Wir bieten dir als weltweit führende Wirtschaftsprüfungs- und Beratungsgesellschaft ein Maximum an Möglichkeiten für einen Karriereweg nach deinen Vorstellungen. Du möchtest Verantwortung für deine Ergebnisse übernehmen, Lösungen gemeinsam mit dem Kunden entwickeln, die digitale Transformation in Deutschland vorantreiben und einen Arbeitgeber mit passenden Werten. Unser Denken und Handeln orientiert sich an Grundsätzen, die von Vertrauen, Respekt, Weitsicht, Wertschätzung und Innovation geprägt sind."
6,Consultant Data Science (f/m/d) fulltime/parttime Teilzeit/Vollzeit,vor 1 Woche,PwC,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover,",You have gained initial experience along the Machine Learning pipeline - from data preparation to developing and evaluating models.
7,(Senior) Key Expert* IIoT & Data Science,vor 11 Stunden,HARTING Stiftung & Co. KG,Espelkamp in der Region Bielefeld,"(Senior) Key Expert* IIoT & Data Science - The Senior Key Expert for IIoT & Data Science will drive the topic of the industrial internet of things and related science to push advanced connectivity for IIoT applications and deliver the technologies to accomplish -driven business models. * Represent the topics of IIoT and science as a designated expert and contact person * Expert knowledge in most of the following scientific areas: cloud infrastructure, structures, understanding and application of artificial intelligence and algorithms, digital twin, digital services, common digital exchange formats, programming languages and frameworks * Technology enthusiasm, curiosity about IIoT and science as well as interest in adjacent tech"
8,Junior Data Engineer (m/w/d),vor 1 Tag,CTH Gesellschaft für Entscheidungs- und Informationssysteme mbH,Halle,"Zur Unterstützung unserer Bereiche Anwendungsberatung/-entwicklung und Systemanalyse/-entwicklung suchen wir Sie als motivierte(n), engagierte(n) Junior Engineer (m/w/d) * Realisierung von BI / Big Lösungen im Backend (Datenmodell, Struktur, ETL, Datenhaltung)"
9,Analyst Consultant (all genders) SAP SuccessFactors,vor 2 Tagen,adesso orange AG,"Dortmund, Oldenburg, Osnabrück,Paderborn,Potsdam,Reutlingen,Rostock,Saarbrücken Stralsund, Stuttgart","adesso orange AG * Dortmund, Oldenburg, Osnabrück,Paderborn,Potsdam,Reutlingen,Rostock,Saarbrücken Stralsund, Stuttgart * Feste Anstellung * Home Office möglich,Vollzeit - Wir sind adesso orange, das SAP Powerhouse der adesso Gruppe: eines der größten deutschen - IT-Dienstleistungsunternehmen mit beeindruckender Wachstumsperspektive. Als SAP Gold Partner treiben wir mit unseren mehr als 300 Expertinnen und Experten den digitalen Wandel in unterschiedlichsten Branchen in ganz Deutschland voran. Dafür suchen wir Teamplayer, die sich mit Kompetenz, Kreativität und Leidenschaft in unsere IT-Projekte einbringen. adesso orange macht Tempo – auch wenn es um die Weiterentwicklung unserer Mitarbeitenden geht. Denn schließlich wollen wir gemeinsam mit dir wachsen. Für unsere Ziele packen wir alle mit an - vom Werkstudenten bis zum Management."
